ARCHETYPOMETRICS CLUSTER ANALYSIS — FULL ROSTER
====================================================================================================
2000 fictional characters clustered by 6-dimensional weight vectors (k=7)
PCA: PC1+PC2 explain 84.5% of weight-space variance

====================================================================================================
CLUSTER 0: RIGHT WALKERS — 162 characters (8.1%)
Center: [+--++-] +0.717 -0.455 -0.238 +0.762 +0.591 -0.141
DX: mean=+2.8m, |DX| mean=5.1m, std=5.6m
Dead (<1m): 19 (12%), Champions (>20m): 0 (0%)
Top stories: The Wire(5), Dexter(4), The Social Network(4), Ozark(4), Futurama(4), Westworld(4), Archer(4), White Collar(3)
----------------------------------------------------------------------------------------------------
Rank  Character                                Story                              DX (m)
126   Malcolm Reynolds                         Firefly + Serenity                   2.10
127   C. J. Cregg                              The West Wing                        2.08
128   Annie Hall                               Annie Hall                           2.03
129   M                                        Tommorrow Never Dies                -1.98
130   Jacob Snell                              Ozark                                1.98
131   Louise Belcher                           Bob's Burgers                       -1.86
132   Stevie Budd                              Schitt's Creek                       1.83
133   Claire Standish                          The Breakfast Club                   1.80
134   Hermes Conrad                            Futurama                            -1.79
135   Cosmo Kramer                             Seinfeld                             1.74
136   Quinn Perkins                            Scandal                             -1.68
137   Alan                                     The Hangover                        -1.48
138   Carl Hanratty                            Catch Me If You Can                 -1.40
139   Yoda                                     Star Wars: Revenge of the Sit        1.27
140   Godmother                                Fleabag                              1.18
141   Mozzie                                   White Collar                         1.16
142   Perry Cox                                Scrubs                              -1.11
143   Timon                                    The Lion King                       -1.10
144   Dr. Zoidberg                             Futurama                            -0.94
145   Steve Harrington                         Stranger Things                      0.91
146   Liz Lemon                                30 Rock                              0.90
147   Jack Twist                               Brokeback Mountain                   0.77
148   Barney Stinson                           How I Met Your Mother                0.74
149   June Osborne                             The Handmaid's Tale                 -0.71
150   Richard Castle                           Castle                               0.70
151   George Costanza                          Seinfeld                            -0.70
152   Logan Roy                                Succession                           0.54
153   Darlene Snell                            Ozark                               -0.50
154   Sam Winchester                           Supernatural                        -0.48
155   Ezra Fitz                                Pretty Little Liars                 -0.47
156   Han Mi-nyeo                              Squid Game                           0.35
157   Eduardo Saverin                          The Social Network                  -0.19
158   Theodore Laurence                        Little Women                         0.16
159   Odysseus                                 The Odyssey                         -0.14
160   Jan Levinson                             The Office                           0.13
161   Alex Kamal                               The Expanse                         -0.03
162   David Rosen                              Scandal                             -0.00

====================================================================================================
CLUSTER 1: LEFT WALKERS — 540 characters (27.0%)
Center: [+-++-+] +0.685 -0.452 +0.274 +0.621 -0.426 +0.866
DX: mean=-14.4m, |DX| mean=15.8m, std=12.5m
Dead (<1m): 39 (7%), Champions (>20m): 217 (40%)
Top stories: Harry Potter(11), Twin Peaks(10), This Is Us(8), LOST(8), Downton Abbey(8), Star Trek: Deep Space Nine(7), Mad Men(7), Glee(7)
----------------------------------------------------------------------------------------------------
Rank  Character                                Story                              DX (m)
----------------------------------------------------------------------------------------------------
1     Buttercup                                The Princess Bride                 -37.58
2     Allison Reynolds                         The Breakfast Club                 -36.99
3     Steve Brady                              Sex and the City                   -35.57
4     Brian Johnson                            The Breakfast Club                 -35.52
5     Blaine Anderson                          Glee                               -35.52
6     Melanie Hamilton                         Gone With the Wind                 -35.16
7     Amy Farrah Fowler                        The Big Bang Theory                -34.42
8     Vision                                   WandaVision                        -34.15
9     Dr. Claire Browne                        The Good Doctor                    -34.01
10    Hernando Fuentes                         Sense8                             -33.92
11    Ferris Bueller                           Ferris Bueller's Day Off           -33.63
12    Hester Prynne                            The Scarlet Letter                 -33.62
13    Prairie Johnson                          The OA                             -33.62
14    Inspector Kido                           The Man in the High Castle         -33.57
15    Nina Locke                               Locke & Key                        -33.50
16    Horace Slughorn                          Harry Potter                       -33.43
17    Donkey                                   Shrek                              -33.37
18    Skyler White                             Breaking Bad                       -33.25
