ARCHETYPOMETRICS CLUSTER ANALYSIS — FULL ROSTER
====================================================================================================
2000 fictional characters clustered by 6-dimensional weight vectors (k=7)
PCA: PC1+PC2 explain 84.5% of weight-space variance

====================================================================================================
CLUSTER 0: RIGHT WALKERS — 162 characters (8.1%)
Center: [+--++-] +0.717 -0.455 -0.238 +0.762 +0.591 -0.141
DX: mean=+2.8m, |DX| mean=5.1m, std=5.6m
Dead (<1m): 19 (12%), Champions (>20m): 0 (0%)
Top stories: The Wire(5), Dexter(4), The Social Network(4), Ozark(4), Futurama(4), Westworld(4), Archer(4), White Collar(3)
----------------------------------------------------------------------------------------------------
Rank  Character                                Story                              DX (m)
340   Leland Palmer                            Twin Peaks                         -10.59
341   Blair Waldorf                            Gossip Girl                        -10.32
342   Helen Seinfeld                           Seinfeld                           -10.31
343   Kimmy Schmidt                            Unbreakable Kimmy Schmidt           10.13
344   Dale Cooper                              Twin Peaks                         -10.11
345   Jackson 'Jax' Teller                     Sons of Anarchy                     -9.98
346   Samuel Norton                            The Shawshank Redemption            -9.90
347   Norma Jennings                           Twin Peaks                          -9.64
348   Dr. Adrian Mallory                       Space Force                         -9.41
349   Laurel Lance                             Arrow                               -9.40
350   Gisele Yashar                            Fast & Furious                      -9.33
351   Cora Crawley                             Downton Abbey                       -9.23
352   Flynn Rider                              Tangled                             -9.05
353   Joyce Byers                              Stranger Things                      8.96
354   Dr. Alana Bloom                          Hannibal                            -8.87
355   The Oracle                               The Matrix                          -8.81
356   Penny Hofstadter                         The Big Bang Theory                 -8.77
357   James Gordon                             Gotham                              -8.69
358   Desmond Hume                             LOST                                -8.68
359   Max Rockatansky                          Mad Max: Fury Road                   8.67
360   Woody                                    Toy Story                           -8.54
361   Nate Lahey                               How To Get Away With Murder         -8.43
362   Ringo                                    Pulp Fiction                        -8.23
363   John Wick                                John Wick                            8.01
364   Twilight Sparkle                         My Little Pony: Friendship Is       -7.71
365   Schmidt                                  New Girl                            -7.70
366   Luke Danes                               Gilmore Girls                       -7.64
367   Pumbaa                                   The Lion King                       -7.44
368   Maeby Funke                              Arrested Development                -7.27
369   Joel Maisel                              The Marvelous Mrs. Maisel           -7.12
370   Brittany Pierce                          Glee                                 7.11
371   Beth Pearson                             This Is Us                          -6.95
372   Eric Forman                              That 70's Show                      -6.86
373   Lady Catherine de Bourgh                 Pride and Prejudice                  6.85
374   D'Angelo Barksdale                       The Wire                            -6.85
375   Ally Maine                               A Star Is Born                      -6.68
376   Nymphadora Tonks                         Harry Potter                         6.46
377   Theresa Cullen                           Westworld                           -6.37
378   Myrtle Wilson                            The Great Gatsby                     6.36
379   Marianne Dashwood                        Sense and Sensibility                6.24
380   Filius Flitwick                          Harry Potter                        -6.23
381   Sokka                                    Avatar: The Last Airbender           6.15
382   Tony Johnson                             After Life                          -6.13
383   Mac                                      It's Always Sunny in Philadel       -6.06
384   Letty Ortiz                              Fast & Furious                       5.91
385   Captain America                          Marvel Cinematic Universe           -5.84
386   Calvin's mom                             Calvin and Hobbes                    5.79
387   Joan Watson                              Elementary                           5.74
388   A-Train                                  The Boys                             5.58
389   Flounder                                 The Little Mermaid                  -5.56
390   Carlton Lassiter                         Psych                                5.49
391   Dan Espinoza                             Lucifer                             -5.40
392   Tiffany Maxwell                          Silver Linings Playbook              5.38
393   Doc Brown                                Back to the Future                  -5.37
394   Ramona Vega                              Hustlers                             5.30
395   Turtle                                   Entourage                           -5.26
396   Michael Scott                            The Office                          -5.25
397   Jeremy Armitage                          Get Out                             -5.11
398   Cho Chang                                Harry Potter                        -5.07
399   Marianne Sheridan                        Normal People                       -4.98
400   Sal Maroni                               The Dark Knight                     -4.88
401   Maria                                    West Side Story                      4.75
402   Jimmy Palmer                             NCIS                                 4.70
403   Inigo Montoya                            The Princess Bride                   4.68
404   Pinkie Pie                               My Little Pony: Friendship Is        4.67
405   Susan Mayer                              Desperate Housewives                 4.64
406   Benjamin Horne                           Twin Peaks                           4.43
407   Stan Rizzo                               Mad Men                             -4.40
408   Prince Hamlet                            Hamlet                               4.40
409   Dan Taylor                               Forrest Gump                         4.27
410   Debra Morgan                             Dexter                               4.27
411   Neo                                      The Matrix                          -4.22
412   Ilsa Lund                                Casablanca                          -4.19
413   Odo                                      Star Trek: Deep Space Nine          -4.18
414   Clarke Griffin                           The 100                              4.17
415   James Hurley                             Twin Peaks                          -4.07
416   Littlefoot                               The Land Before Time                -4.06
417   Gandalf                                  Lord of the Rings                    3.97
418   Danny Reagan                             Blue Bloods                         -3.95
419   Aunt Polly                               Peaky Blinders                      -3.89
420   Linda Montag                             Fahrenheit 451                       3.81
421   Morty Seinfeld                           Seinfeld                            -3.77
422   Connor MacManus                          The Boondock Saints                 -3.74
423   Mindy Chen                               Emily in Paris                      -3.70
424   Garrett McNeill                          Superstore                          -3.66
425   Mr. Darcy                                Pride and Prejudice                  3.64
426   Sailor Jupiter                           Sailor Moon                         -3.60
427   Neal Caffrey                             White Collar                         3.45
428   Cassie Howard                            Euphoria                            -3.41
429   John Michael Dorian                      Scrubs                               3.40
430   Homer                                    The OA                               3.22
431   Joel Barish                              Eternal Sunshine of the Spotl        3.19
432   Dr. Chan Kaifang                         Space Force                         -3.17
433   Richard Hendricks                        Silicon Valley                      -3.00
434   Jess Day                                 New Girl                            -3.00
435   Captain Marvel                           Marvel Cinematic Universe            2.99
436   Amos Burton                              The Expanse                         -2.95
437   Natalie                                  Yellowjackets                        2.94
438   Rose Weissman                            The Marvelous Mrs. Maisel           -2.91
439   Charles Darnay                           A Tale of Two Cities                 2.89
440   Christy Lee                              The Social Network                  -2.86
441   Dean Armitage                            Get Out                             -2.78
442   Donna Sheridan                           Mamma Mia!                           2.77
443   Albus Dumbledore                         Harry Potter                         2.73
444   Dean Forester                            Gilmore Girls                       -2.73
445   Toby Damon                               This Is Us                           2.72
446   Don Shirley                              Green Book                           2.71
447   Emmett Cullen                            Twilight                             2.65
448   Henry Francis                            Mad Men                              2.63
449   Keeley Jones                             Ted Lasso                            2.59
450   Phil                                     The Hangover                        -2.59
451   Malik McGrath                            ER                                   2.54
452   Miranda Bailey                           Grey's Anatomy                      -2.53
453   Rachel Green                             Friends                              2.50
454   Ursula                                   The Little Mermaid                   2.50
455   Caleb Rivers                             Pretty Little Liars                 -2.50
456   Nick Stokes                              CSI: Crime Scene Investigatio        2.49
457   Billy Keikeya                            Battlestar Galactica                 2.48
458   Jen Yu                                   Crouching Tiger, Hidden Drago        2.36
459   Rarity                                   My Little Pony: Friendship Is       -2.31
460   Freddie Lounds                           Hannibal                            -2.28
461   Cady Heron                               Mean Girls                           2.27
462   Nick Young                               Crazy Rich Asians                   -2.20
463   Penelope                                 The Odyssey                         -2.17
464   Bert Cooper                              Mad Men                             -2.15
465   Eleanor Shellstrop                       The Good Place                      -2.14
466   The Amphibian Man                        The Shape of Water                   2.14
467   Wolverine                                X-Men                               -2.04
468   Miles O'Brien                            Star Trek: Deep Space Nine           2.01
469   David Rose                               Schitt's Creek                       1.96
470   Shannon Rutherford                       LOST                                 1.96
471   Molly Hooper                             Sherlock                             1.94
472   Peeta Mellark                            The Hunger Games                     1.93
473   Asuka Langly Soryu                       Neon Genesis Evangelion             -1.93
474   Harry Potter                             Harry Potter                         1.93
475   Will Gardner                             The Good Wife                        1.92
476   Jack Dawson                              Titanic                             -1.85
477   Catherine Martell                        Twin Peaks                           1.83
478   Glen Lantz                               A Nightmare on Elm Street            1.83
479   Faustus Blackwood                        Chilling Adventures of Sabrin        1.83
480   Glenn Sturgis                            Superstore                          -1.82
481   Nate Jacobs                              Euphoria                            -1.76
482   Matt Saracen                             Friday Night Lights                  1.73
483   Hurley Reyes                             LOST                                -1.71
484   James Norrington                         Pirates of the Caribbean            -1.69
485   Ender Wiggin                             Ender's Game                        -1.69
486   Rapunzel                                 Tangled                             -1.68
487   Yu Shu Lien                              Crouching Tiger, Hidden Drago       -1.66
488   Adam Sackler                             Girls                               -1.61
489   Jack Shephard                            LOST                                 1.58
490   Sara Sidle                               CSI: Crime Scene Investigatio        1.55
491   Tyrion Lannister                         Game of Thrones                      1.42
492   Mercedes Jones                           Glee                                -1.33
493   Moe Szyslak                              The Simpsons                        -1.31
494   Dr. Spencer Reid                         Criminal Minds                      -1.24
495   Queen Elizabeth II                       The Crown                            1.23
496   Don Draper                               Mad Men                             -1.21
497   Sheriff Truman                           Twin Peaks                           1.20
498   Sharpay Evans                            High School Musical                 -1.16
499   The Cowardly Lion                        The Wizard of Oz                    -1.14
500   Chien-Po                                 Mulan                                1.09
501   Eric Taylor                              Friday Night Lights                  1.01
502   Apu Nahasapeemapetilon                   The Simpsons                        -0.99
503   Catelyn Stark                            Game of Thrones                     -0.97
504   Friar Laurence                           Romeo and Juliet                    -0.94
505   Janine Lindo                             The Handmaid's Tale                 -0.93
506   Leslie Higgins                           Ted Lasso                            0.91
507   Armin Arlert                             Attack on Titan                     -0.91
508   Miguel                                   Coco                                -0.85
509   Linus Caldwell                           Ocean's 11                          -0.81
510   Kurt Hummel                              Glee                                -0.79
511   Poe Dameron                              Star Wars: The Last Jedi            -0.75
512   Lady Mary Crawley                        Downton Abbey                        0.74
513   Love Quinn                               You                                  0.72
514   Gabrielle Solis                          Desperate Housewives                -0.67
515   Xiomara Villanueva                       Jane the Virgin                      0.66
516   Paris Geller                             Gilmore Girls                       -0.66
517   Jughead Jones                            Riverdale                           -0.64
518   Queen Gertrude                           Hamlet                              -0.62
519   Triss                                    The Witcher                         -0.53
520   Carlos Solis                             Desperate Housewives                 0.52
521   Ginny Weasley                            Harry Potter                         0.52
522   Donna Paulsen                            Suits                                0.47
523   Charlie Bucket                           Willy Wonka & the Chocolate F        0.47
524   Alfred Pennyworth                        The Dark Knight                      0.43
525   Alfred Pennyworth                        Gotham                               0.43
526   Tahani Al-Jamil                          The Good Place                      -0.42
527   Stuart Bloom                             The Big Bang Theory                  0.41
528   Naruto Uzumaki                           Naruto                               0.40
529   Elinor Dashwood                          Sense and Sensibility                0.39
530   Sallah                                   Raiders of the Lost Ark             -0.39
531   Claire Dunphy                            Modern Family                       -0.35
532   Cary Agos                                The Good Wife                        0.27
533   Angelica Schuyler                        Hamilton                             0.27
534   Robert Ford                              Westworld                           -0.23
535   Otis Milburn                             Sex Education                        0.10
536   Seven of Nine                            Star Trek: Voyager                   0.10
537   Violet Baudelaire                        A Series of Unfortunate Event       -0.04
538   Edward Cullen                            Twilight                            -0.03
539   Bill Anderson                            Mamma Mia!                          -0.01
540   Kes                                      Star Trek: Voyager                   0.01

====================================================================================================
CLUSTER 2: MOSTLY INERT — 285 characters (14.2%)
Center: [+--++-] +0.732 -0.509 -0.821 +0.714 +0.536 -0.685
DX: mean=-1.5m, |DX| mean=2.8m, std=3.1m
Dead (<1m): 74 (26%), Champions (>20m): 0 (0%)
Top stories: Shameless(6), Death Note(6), The Wire(6), Arrested Development(6), Mean Girls(5), 30 Rock(5), Marvel Cinematic Universe(5), How To Get Away With Murder(4)
----------------------------------------------------------------------------------------------------
Rank  Character                                Story                              DX (m)
----------------------------------------------------------------------------------------------------
1     Miranda Priestly                         The Devil Wears Prada              -12.40
2     Lady Jessica                             Dune                               -11.41
3     Jonah Byrde                              Ozark                              -10.05
4     Chung-sook                               Parasite                            -9.19
5     Frank Sobotka                            The Wire                            -8.83
6     Kylo Ren                                 Star Wars: The Last Jedi            -8.75
7     Curtis Holt                              Arrow                               -8.32
8     Rita                                     Mulholland Drive                    -7.25
9     Jennifer Check                           Jennifer's Body                     -7.16
10    Darryl Whitefeather                      Crazy Ex-Girlfriend                 -6.85
11    Kima Greggs                              The Wire                            -6.80
12    Jenna Maroney                            30 Rock                             -6.80
13    Harvey Specter                           Suits                               -6.75
14    Floki                                    Vikings                             -6.72
15    Dale Harding                             One Flew Over the Cuckoo's Ne       -6.70
16    Jackie Burkhart                          That 70's Show                       6.70
17    Hector Barbossa                          Pirates of the Caribbean            -6.69
18    Junior Soprano                           The Sopranos                        -6.56
19    Jayne Cobb                               Firefly + Serenity                   6.45
20    Lord Business                            The Lego Movie                      -6.44
21    O'Brien                                  Nineteen Eighty-Four                 6.33
22    Dennis Reynolds                          It's Always Sunny in Philadel       -6.21
23    Nurse Ratched                            One Flew Over the Cuckoo's Ne       -5.92
24    John Bender                              The Breakfast Club                  -5.87
25    Denny Brosh                              Fullmetal Alchemist: Brotherh       -5.83
26    Dolores Umbridge                         Harry Potter                        -5.76
27    Tyler Durden                             Fight Club                          -5.69
28    Hawkeye Pierce                           M*A*S*H                              5.65
29    Clarence Royce                           The Wire                            -5.63
30    Harvey Kinkle                            Chilling Adventures of Sabrin       -5.62
31    Nacho Varga                              Better Call Saul                    -5.41
32    Juliet Burke                             LOST                                -5.41
33    Elaine Benes                             Seinfeld                            -5.41
34    Alex Vause                               Orange is the New Black              5.31
35    Tuco                                     The Good, the Bad, and the Ug       -5.20
36    Noah Puckerman                           Glee                                -5.12
37    Kim Ki-taek                              Parasite                            -5.12
38    Meg Rayburn                              Bloodline                            5.12
39    Sam Healy                                Orange is the New Black             -5.06
40    Light Yagami                             Death Note                          -5.05
41    Reiner Braun                             Attack on Titan                     -5.01
42    Nog                                      Star Trek: Deep Space Nine          -4.88
43    Mystique                                 X-Men                               -4.87
44    Soichiro Yagami                          Death Note                           4.81
45    Erlich Bachman                           Silicon Valley                      -4.71
46    Bonnie Winterbottom                      How To Get Away With Murder         -4.67
47    Eleven                                   Stranger Things                     -4.65
48    Moaning Myrtle                           Harry Potter                        -4.64
49    James Taggart                            Atlas Shrugged                      -4.57
50    Betty Elms                               Mulholland Drive                     4.56
51    Gollum                                   Lord of the Rings                   -4.55
52    Kenny McCormick                          South Park                          -4.54
53    Buck Vu                                  The OA                              -4.52
54    Stella Gibson                            The Fall                            -4.50
55    Sgt. Sean Dignam                         The Departed                         4.49
56    The Operative                            Firefly + Serenity                   4.45
57    Dr. Jumba Jookiba                        Lilo & Stitch                       -4.44
58    Kanzo Mogi                               Death Note                          -4.35
59    Derek Morgan                             Criminal Minds                      -4.32
60    Peter Doppler                            Dark                                 4.32
61    Patrizia Reggiani                        House of Gucci                      -4.27
62    The Narrator                             Fight Club                          -4.24
63    Heywood                                  The Shawshank Redemption            -4.23
64    Jack Donaghy                             30 Rock                             -4.22
65    Captain Killian 'Hook' Jones             Once Upon a Time                    -4.19
66    Eve Polastri                             Killing Eve                         -4.18
67    Maeve Wiley                              Sex Education                       -4.17
68    Sawyer Ford                              LOST                                -4.15
69    Penny                                    Dr. Horrible's Sing-Along Blo       -4.14
70    Sabrina Spellman                         Chilling Adventures of Sabrin       -4.14
71    Dr. Horrible                             Dr. Horrible's Sing-Along Blo        4.11
72    Prince John                              Robin Hood                          -4.06
73    Loki                                     Marvel Cinematic Universe           -4.05
74    Bob Kelso                                Scrubs                               4.03
75    Melisandre                               Game of Thrones                     -4.02
76    Abigail Hobbs                            Hannibal                            -3.96
77    Frank Abagnale                           Catch Me If You Can                 -3.89
78    Margo Dunne                              Gone Girl                           -3.87
79    General Hux                              Star Wars: The Last Jedi            -3.85
80    Milhouse Van Houten                      The Simpsons                        -3.84
81    Anastasia Dualla                         Battlestar Galactica                -3.78
82    Bianca Stratford                         10 Things I Hate About You          -3.77
83    Jimmy Price                              Hannibal                            -3.76
84    Charlie Cheswick                         One Flew Over the Cuckoo's Ne        3.73
85    Draco Malfoy                             Harry Potter                        -3.72
86    Q                                        Tommorrow Never Dies                -3.72
87    Lucifer Morningstar                      Lucifer                             -3.72
88    Jackie                                   Yellowjackets                       -3.72
89    Alison DiLaurentis                       Pretty Little Liars                 -3.70
90    Lucius Fox                               The Dark Knight                     -3.69
91    Eric Cartman                             South Park                          -3.69
92    Sterling Archer                          Archer                              -3.64
93    Harvey Bullock                           Gotham                              -3.62
94    Red John                                 The Mentalist                       -3.60
95    Genie                                    Aladdin                             -3.59
96    Angela Moss                              Mr. Robot                            3.58
97    Ilana Wexler                             Broad City                           3.49
98    Saul Goodman                             Breaking Bad                        -3.46
99    Tobias 'Four' Eaton                      Divergent                           -3.45
100   Harold Cooper                            The Blacklist                       -3.39
101   Regina George                            Mean Girls                          -3.37
102   Lucas Davidowicz                         Ctrl+Alt+Del                        -3.34
103   Guy Montag                               Fahrenheit 451                      -3.32
104   Omar Little                              The Wire                             3.32
105   Nelson Muntz                             The Simpsons                        -3.28
106   George Bluth, Sr.                        Arrested Development                -3.27
107   Cheryl Blossom                           Riverdale                           -3.25
108   Jamie Dutton                             Yellowstone                          3.23
109   Charlie Harper                           Two and a Half Men                   3.23
110   Lexi Howard                              Euphoria                             3.21
111   Marty Byrde                              Ozark                               -3.20
112   Azula                                    Avatar: The Last Airbender          -3.19
113   Faye Valentine                           Cowboy Bebop                        -3.09
114   Malory Archer                            Archer                              -3.07
115   Miriam Maisel                            The Marvelous Mrs. Maisel           -3.05
116   Connor Walsh                             How To Get Away With Murder          3.04
117   Connie Springer                          Attack on Titan                      3.04
118   Cisco Ramon                              The Flash                           -3.01
119   Mazikeen                                 Lucifer                             -2.99
120   Mr. Gold                                 Once Upon a Time                     2.97
121   Leslie Winkle                            The Big Bang Theory                  2.96
122   L                                        Death Note                           2.96
123   Taystee Jefferson                        Orange is the New Black             -2.94
124   Vince Masuka                             Dexter                               2.93
125   Wyldstyle                                The Lego Movie                       2.87
126   Steven Hyde                              That 70's Show                      -2.83
127   Ray Arnold                               Jurassic Park                       -2.83
128   Connell Waldron                          Normal People                       -2.81
129   Kaz Brekker                              Shadow and Bone                      2.80
130   Olivia Pope                              Scandal                              2.80
131   Doc Holliday                             Wynonna Earp                        -2.78
132   Randall Boggs                            Monsters, Inc.                      -2.78
133   Monica Geller                            Friends                             -2.75
134   Gavin 'Spinner' Mason                    Degrassi: The Next Generation       -2.75
135   Beth Dutton                              Yellowstone                         -2.74
136   Baron Harkonnen                          Dune                                -2.72
137   Marion Crane                             Psycho                              -2.69
138   Ethan Ryan MacManus                      Ctrl+Alt+Del                        -2.67
139   Zelena                                   Once Upon a Time                    -2.66
140   The Joker                                The Dark Knight                     -2.61
141   Eric O'Bannon                            Bloodline                            2.60
142   Dr. Rene Belloq                          Raiders of the Lost Ark             -2.38
143   Tracy Jordan                             30 Rock                              2.28
144   Gamora                                   Marvel Cinematic Universe           -2.26
145   Frank Delfino                            How To Get Away With Murder         -2.22
146   Silco                                    Arcane                              -2.22
147   Octavia Blake                            The 100                             -2.16
148   Ada Shelby                               Peaky Blinders                      -2.14
149   Pete Hornberger                          30 Rock                              2.13
150   F. Tony Scarapiducci                     Space Force                         -2.11
151   Mike McLintock                           Veep                                 2.08
152   Number Six                               Battlestar Galactica                -2.07
153   Ryuk                                     Death Note                          -2.05
154   Marsellus Wallace                        Pulp Fiction                        -2.03
155   Chip Dove                                Jennifer's Body                      1.98
156   Ellen Parsons                            Damages                             -1.97
157   Abby Whelan                              Scandal                             -1.93
158   Charlie Pace                             LOST                                -1.93
159   Olenna Tyrell                            Game of Thrones                     -1.91
160   Connor Roy                               Succession                           1.89
161   Veronica Donovan                         Prison Break                        -1.89
162   Edie Britt                               Desperate Housewives                 1.86
163   Frank Costello                           The Departed                        -1.81
164   Lorelai Gilmore                          Gilmore Girls                        1.80
165   Amy Wong                                 Futurama                             1.77
166   Quint                                    Jaws                                -1.77
167   Angel Batista                            Dexter                               1.75
168   Queen Maeve                              The Boys                            -1.73
169   Raymond 'Red' Reddington                 The Blacklist                       -1.72
170   Dennis Nedry                             Jurassic Park                        1.72
171   Man in Black                             Westworld                            1.71
172   Varys                                    Game of Thrones                     -1.70
173   Linda Belcher                            Bob's Burgers                        1.67
174   Dukat                                    Star Trek: Deep Space Nine          -1.63
175   Meadow Soprano                           The Sopranos                        -1.62
176   Carl Gallagher                           Shameless                           -1.59
177   Santana Lopez                            Glee                                 1.57
178   Jack Sparrow                             Pirates of the Caribbean            -1.56
179   Gene Belcher                             Bob's Burgers                        1.55
180   Cordelia Chase                           Buffy the Vampire Slayer            -1.52
181   Kenneth Parcell                          30 Rock                             -1.52
182   Marla Singer                             Fight Club                          -1.51
183   Chef Skinner                             Ratatouille                         -1.50
184   Toby Cavanaugh                           Pretty Little Liars                  1.46
185   T-Bag Bagwell                            Prison Break                        -1.46
186   Robert 'Bobby Elvis' Munson              Sons of Anarchy                      1.43
187   Kara 'Starbuck' Thrace                   Battlestar Galactica                -1.40
188   Edward Nygma                             Gotham                               1.39
189   Bruce Wayne                              Gotham                              -1.36
190   Ian Duncan                               Community                            1.35
191   Oscar Bluth                              Arrested Development                -1.35
192   Lucille Bluth                            Arrested Development                -1.32
193   Aaron Hotchner                           Criminal Minds                      -1.30
194   Rio                                      Money Heist                         -1.30
195   Gob Bluth                                Arrested Development                -1.29
196   Christopher Moltisanti                   The Sopranos                        -1.21
197   Mona Vanderwaal                          Pretty Little Liars                 -1.21
198   Patrick Jane                             The Mentalist                       -1.20
199   Vicious                                  Cowboy Bebop                         1.19
200   Andrea Sachs                             The Devil Wears Prada               -1.19
201   Nick Fury                                Marvel Cinematic Universe           -1.18
202   John Munch                               Law & Order: SVU                     1.17
203   Carolyn Martens                          Killing Eve                         -1.12
204   Malcolm Merlyn                           Arrow                               -1.11
205   Shiv Roy                                 Succession                           1.09
206   Rhett Butler                             Gone With the Wind                  -1.08
207   Selina Meyer                             Veep                                -1.07
208   Scar                                     Fullmetal Alchemist: Brotherh       -1.04
209   Merle Dixon                              The Walking Dead                    -1.04
210   Stan Beeman                              The Americans                        1.03
211   Dominique DiPierro                       Mr. Robot                            1.01
212   Philip Jennings                          The Americans                       -1.00
213   Black Widow                              Marvel Cinematic Universe           -0.99
214   Charlotte Hale                           Westworld                           -0.99
215   Tobias Funke                             Arrested Development                -0.97
216   Ben Chang                                Community                           -0.97
217   Salvatore Romano                         Mad Men                             -0.96
218   Seth                                     Superbad                             0.94
219   Debbie Gallagher                         Shameless                           -0.94
220   Mr. Burns                                The Simpsons                        -0.92
221   Lip Gallagher                            Shameless                           -0.92
222   Jonah Ryan                               Veep                                 0.92
223   Kenny Stowton                            Killing Eve                         -0.91
224   June George                              Mean Girls                          -0.90
225   Petra Solano                             Jane the Virgin                      0.85
226   Frank Gallagher                          Shameless                            0.85
227   Stan Marsh                               South Park                          -0.84
228   Iceman                                   X-Men                                0.83
229   Nancy Thompson                           A Nightmare on Elm Street           -0.80
230   Felix Lutz                               Westworld                            0.78
231   Nathan Bateman                           Ex Machina                           0.77
232   Nick Sobotka                             The Wire                             0.76
233   Ian Gallagher                            Shameless                           -0.74
234   Major Arnold Toht                        Raiders of the Lost Ark              0.73
235   Wayne Rigsby                             The Mentalist                       -0.72
236   Johnny                                   The Room                             0.70
237   Bender                                   Futurama                            -0.68
238   Lorraine Broughton                       Atomic Blonde                        0.66
239   Carmela Soprano                          The Sopranos                        -0.65
240   Bruce Banner                             Marvel Cinematic Universe            0.65
241   Selina Kyle                              Gotham                               0.65
242   Joe Goldberg                             You                                  0.64
243   Sheldon Cooper                           The Big Bang Theory                  0.64
244   Titus Andromedon                         Unbreakable Kimmy Schmidt           -0.63
245   Petyr Baelish                            Game of Thrones                      0.60
246   Becca                                    Superbad                             0.59
247   Mace Windu                               Star Wars: Revenge of the Sit       -0.57
248   Wes Gibbins                              How To Get Away With Murder         -0.54
249   Jimmy McNulty                            The Wire                             0.54
250   Moira Rose                               Schitt's Creek                      -0.52
251   Anita                                    West Side Story                     -0.50
252   Veronica Lodge                           Riverdale                           -0.47
253   George Wickham                           Pride and Prejudice                 -0.44
254   Ambrose Spellman                         Chilling Adventures of Sabrin       -0.43
255   Tommy                                    Shameless                           -0.43
256   Bertram Gilfoyle                         Silicon Valley                      -0.39
257   Sue Sylvester                            Glee                                 0.38
258   Hank Schrader                            Breaking Bad                         0.37
259   Hideki Ide                               Death Note                           0.37
260   Cameron Frye                             Ferris Bueller's Day Off             0.36
261   Chris Washington                         Get Out                              0.35
262   Greg Hirsch                              Succession                          -0.35
263   Cassie Thomas                            Promising Young Woman                0.33
264   Tyrell Wellick                           Mr. Robot                           -0.31
265   Shrek                                    Shrek                                0.30
266   Michael Scofield                         Prison Break                         0.30
267   Peter Venkman                            Ghostbusters                        -0.26
268   Buster Bluth                             Arrested Development                -0.25
269   Count Olaf                               A Series of Unfortunate Event       -0.24
270   Cecil B. Heimerdinger                    Arcane                               0.23
271   Betsy Heron                              Mean Girls                          -0.22
272   Darrell C. (Shifty) Powers               Band of Brothers                    -0.20
273   Sheriff of Nottingham                    Robin Hood                          -0.18
274   Ashley Barrett                           The Boys                             0.17
275   Tess Ocean                               Ocean's 11                           0.16
276   Karen Smith                              Mean Girls                          -0.14
277   Itaru Hashida                            Steins;Gate                          0.12
278   Beverly Katz                             Hannibal                             0.12
279   Janis Ian                                Mean Girls                           0.10
280   the Alien                                Alien                               -0.09
281   Freddy Krueger                           A Nightmare on Elm Street           -0.08
282   Robby Keene                              Cobra Kai                            0.07
283   Patrick Verona                           10 Things I Hate About You           0.03
284   Agatha Harkness                          WandaVision                         -0.02
285   Paul Smecker                             The Boondock Saints                 -0.01

====================================================================================================
CLUSTER 3: MOSTLY INERT — 500 characters (25.0%)
Center: [+-+-+-] +0.718 -0.457 +0.883 -0.494 +0.594 -0.375
DX: mean=+1.2m, |DX| mean=2.8m, std=3.4m
Dead (<1m): 103 (21%), Champions (>20m): 0 (0%)
Top stories: Game of Thrones(11), Vikings(8), Sense8(8), Mamma Mia!(7), The Wire(7), The Walking Dead(6), Wheel of Time(6), Gilmore Girls(6)
----------------------------------------------------------------------------------------------------
Rank  Character                                Story                              DX (m)
----------------------------------------------------------------------------------------------------
1     Jamie Tartt                              Ted Lasso                          -14.79
2     Emma Nelson                              Degrassi: The Next Generation      -10.95
3     Lily Iglehart                            Sex Education                      -10.80
